period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
01-10-2012,31-10-2012,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,172463,0.002743166,0.147246127,185013,0.013032796,0.109948439,81,0.019569192,0.113989634,86,0.024682331,0.089240575,9376,0.150579941,0.168608034,11835,0.132928274,0.13119635,13060,-0.001135419,-0.020960696,56849,-0.035406562,-0.171222032,6.063082721,-1.169043359,-2.486091426,73,1,-8,0.951231988,-0.0029228,0.013463663,0.230533046,0.000897812,0.02472769,0.057896691,0.002555891,-0.011901336,0.172908381,-0.003632606,0.027053892,,,16-12-2024 14:09
01-11-2012,30-11-2012,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,157689,-0.002787862,0.106336015,158181,-0.013758021,0.081744794,135,0.007072261,0.094054841,136,-0.013041576,0.069937423,45954,-0.059351845,0.225604673,51138,-0.09704248,0.109169488,44473,-0.209300738,-0.086422842,205425,-0.060655676,-0.246004491,4.470176053,-0.006204705,-2.796006029,74,0,-23,0.967243146,-0.000530622,0.015146889,0.199648007,-0.002234645,0.050589906,0.050454129,-0.009106173,-0.023286133,0.148935026,-0.013252841,0.061041727,,,16-12-2024 14:09
01-11-2021,30-11-2021,30,national,11,1400,f, National,National,U.S.,US,Single Family Residential,6,399959,0.008663882,0.152126149,390444,-0.017081004,0.14412515,205,0.008648247,0.180539537,204,-0.007196459,0.153020685,451524,-0.038187554,-0.008867216,463297,-0.110807827,0.010556395,373076,-0.215325364,0.018065437,584028,-0.136892703,-0.161776196,1.293460773,-0.14792047,-0.235953412,22,1,-5,1.008351379,-0.001258992,0.011073401,0.462232071,-0.015906652,0.089282827,0.101809572,-0.018521374,-0.020606716,0.498200432,-0.020469092,0.035209799,,,16-12-2024 14:09
01-08-2024,31-08-2024,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,353725,-0.011290132,0.019547332,356484,-0.012482819,0.011022896,309,-0.014351846,0.014104388,319,-0.008737692,0.018253095,48538,-0.028781603,-0.076952931,50756,-0.055954634,-0.101574037,62430,-0.027689114,0.000237529,174621,-0.001762435,0.386004264,3.597570335,0.097374975,1.201670959,44,2,10,0.986427316,-0.003318013,-0.007216637,0.256719626,-0.020610078,-0.061259562,0.161439898,-0.003483586,0.024139036,0.354971726,-0.014653559,-0.097638912,,,16-12-2024 14:09
01-11-2022,30-11-2022,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,394432,-0.013226665,0.029285344,389112,-0.029812918,0.039270056,218,-0.018279568,0.03232419,220,-0.014760194,0.046363874,378088,-0.122656929,-0.345119053,384697,-0.134296818,-0.351012198,373061,-0.224885122,-0.221606236,1109370,-0.067115358,0.44264639,2.934155671,0.17469214,1.602212752,38,3,15,0.985032255,-0.004017746,-0.021816004,0.262972212,-0.026213409,-0.183092489,0.196795952,-0.021731973,0.097061182,0.317298134,-0.054615858,-0.176727582,,,16-12-2024 14:09
01-04-2022,30-04-2022,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,375662,0.021152705,0.153898116,376562,0.015244103,0.133954684,233,0.015967565,0.174978101,231,0.007573741,0.140622152,57400,-0.006759466,-0.102974027,63353,-0.03819775,-0.134412534,70807,-0.003169743,-0.095196103,74663,0.123977974,0.033619638,1.300727645,0.151296384,0.171892203,17,-2,-2,1.031938563,0.007038668,0.017990621,0.593666403,0.041189236,0.105771444,0.069727622,0.009397182,0.009554464,0.696849937,0.001244409,0.026305385,,,16-12-2024 14:09
01-02-2021,28-02-2021,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,306022,0.034822263,0.1135372,326796,0.05215548,0.128764228,188,0.043469213,0.111214187,200,0.039690254,0.138505474,46393,0.057222916,0.163954059,58591,0.012894721,-0.041558888,54008,0.029469651,-0.068787131,67792,-0.064528045,-0.372618252,1.461261924,-0.190182125,-1.249753741,31,-3,-17,0.999025428,0.004105855,0.013317771,0.35880881,0.032685043,0.123571728,0.058666877,-0.020806317,-0.038117662,0.572626185,0.073269476,0.152707216,,,16-12-2024 14:09
01-11-2015,30-11-2015,30,national,11,1400,f, National,National,U.S.,US,Single Family Residential,6,240456,0.005825383,0.067390144,244580,-0.029781072,0.079001069,123,0.000383419,0.066004369,124,-0.026289435,0.065339943,303976,-0.211166816,0.03052575,377687,-0.172281244,0.095902688,332935,-0.2442175,0.084047988,1415662,-0.068701539,-0.057883188,4.657148372,0.712426748,-0.437030249,59,3,-7,0.973761832,-0.000872538,0.003122664,0.197843695,-0.001581824,0.019597513,0.117424428,-0.029748133,0.029831369,0.203840382,-0.009600881,0.058252759,,,16-12-2024 14:09
01-08-2017,31-08-2017,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,271481,-0.007724299,0.060994186,273568,-0.00768802,0.052960717,147,0.004535081,0.069678397,148,-0.002088031,0.057750297,623796,0.064033417,0.022866701,667182,0.012776306,-0.009264715,679645,-0.012638521,0.029407192,1681244,-0.013343279,-0.087320198,2.695182151,-0.211364586,-0.325386584,39,3,-5,0.984582196,-0.002107891,0.002996083,0.258200793,-0.016828858,0.019273026,0.142017459,0.006865335,0.004551714,0.329423958,-0.018251919,0.040858818,,,16-12-2024 14:09
01-04-2018,30-04-2018,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,247775,0.004088604,0.070212276,266806,0.013419062,0.082379796,214,0.012458066,0.08788479,227,0.015410288,0.080454264,63343,0.049119397,0.055314132,79328,0.004856097,0.055107921,86155,0.055296925,0.081108775,157927,0.042742797,-0.056822465,2.493195345,-0.015246434,-0.296421862,32,-3,-4,0.987197667,0.002444955,0.004603595,0.258041033,0.021535614,0.020007855,0.105070067,0.001076729,0.017907507,0.446548821,0.014114735,0.031182098,,,16-12-2024 14:09
01-10-2018,31-10-2018,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,277989,-0.004690148,0.036470824,290169,-0.026545316,0.051368846,154,0.005268352,0.044210542,159,-0.017892789,0.055703331,511077,0.065482732,-0.000181572,563353,0.045577288,-0.049057003,593643,0.002465851,0.059513668,1623719,-0.017220904,0.052503593,3.177049387,-0.267357677,0.159033541,44,4,-1,0.981035291,-0.002031119,-0.000937483,0.222095538,-0.012825644,-0.01030915,0.183507846,0.016498901,0.043913414,0.298510685,-0.020407681,0.001578442,,,16-12-2024 14:09
01-07-2023,31-07-2023,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,369230,-0.012146477,0.028888768,369079,-0.013142497,0.017472988,229,0.000749924,0.017945079,228,-0.011493777,0.011339782,44513,-0.156329045,-0.151391198,51157,-0.051462227,-0.062983147,54129,-0.078874616,-0.191927291,91011,0.022889961,-0.176555294,2.044591937,0.358229867,-0.062481801,27,0,6,1.004460815,-0.001456318,-0.006358865,0.399557377,-0.01772623,-0.076474122,0.125887697,0.004942695,-0.044136257,0.521101886,-0.014854096,0.020697566,,,16-12-2024 14:09
01-08-2014,31-08-2014,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,196884,0.015591558,0.05202269,200311,-0.018926271,0.049684349,168,0.012407195,0.033312078,172,-0.01742082,0.038992209,58333,-0.051815945,-0.061983011,65371,0.026312303,-0.024841622,67436,-0.077186076,-0.015114269,220651,-0.013360264,0.055438091,3.782566026,0.147430865,0.420823423,52,3,-3,0.972528209,-0.001866763,-0.004584877,0.171063783,-0.017358862,-0.05626142,0.081589256,-0.00049689,0.022639437,0.188406278,-0.015617398,-0.00721376,,,16-12-2024 14:09
01-06-2013,30-06-2013,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,218777,0.046147912,0.129219638,226190,-0.010172339,0.130684495,116,0.028221275,0.102227546,120,-0.003403981,0.107334497,522342,-0.014214113,0.076840188,594381,-0.045390504,0.08542197,655099,-0.078021148,0.125787375,1965285,0.02228141,-0.087301609,3.762449274,0.134319719,-0.676647613,53,-2,-16,0.980595737,0.001179908,0.010153792,0.251332579,0.003147743,0.046994396,0.055066091,0.001235199,-0.004568037,0.199795774,-0.015542128,0.05590548,,,16-12-2024 14:09
01-07-2023,31-07-2023,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,420795,-0.009115504,0.014563617,422682,-0.025697531,0.010979551,231,-0.004013266,0.011215256,232,-0.003612493,0.022673049,443279,-0.143605937,-0.143989515,509191,-0.062986723,-0.103574222,534092,-0.102860741,-0.22376592,996610,0.018962318,-0.170580717,2.248266644,0.358695094,-0.072079483,29,0,8,1.001447863,-0.001633074,-0.009169761,0.381182372,-0.014375066,-0.092304656,0.154152891,0.010121843,-0.038222615,0.469814,-0.029614789,-0.000713348,,,16-12-2024 14:09
01-01-2022,31-01-2022,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,332159,-0.009167528,0.123205805,353333,0.060607592,0.137592004,210,0.006850337,0.165899631,219,0.058471014,0.139896318,43153,-0.299032162,-0.016594753,52443,0.062065226,-0.093380789,47909,0.218072167,-0.086787565,58340,-0.052354984,-0.194954344,1.351922682,0.351912865,-0.299521367,25,2,-9,1.005332065,-0.000822769,0.010412492,0.421632143,-0.005162017,0.095508376,0.064005862,-0.003090634,-0.015467332,0.546319844,0.085707655,0.046963135,,,16-12-2024 14:09
